# Binned XLF estimates based on combining the hard-band or soft-band samples and correcting for absorption (Aird+15 Fig. 8)
# XLF estimates include Compton-thick sources.
# For the soft band, only bins with Nsoft>=1 should be plotted.
# For the hard band, only bins with Nhard>=1 should be plotted.
# LFsoft_lo, LFsoft_hi, LFhard_lo, LFhard_hi are 1sigma upper and lower limits, *not* error bars.
# zlo zhi   lblo  lbhi   LFsoft      LFsoft_lo   LFsoft_hi   Nsoft   LFhard     LFhard_lo    LFhard_hi   Nhard
 1.00 1.20 42.00 42.25   3.082E-04   2.125E-04   4.414E-04    9.99   2.277E-04   4.546E-05   7.294E-04    1.11
 1.00 1.20 42.25 42.50   2.355E-04   1.739E-04   3.167E-04   14.23   2.241E-04   1.182E-04   4.028E-04    4.08
 1.00 1.20 42.50 42.75   2.217E-04   1.786E-04   2.745E-04   26.06   2.355E-04   1.634E-04   3.354E-04   10.28
 1.00 1.20 42.75 43.00   1.902E-04   1.610E-04   2.244E-04   42.04   1.791E-04   1.390E-04   2.298E-04   19.59
 1.00 1.20 43.00 43.25   1.529E-04   1.308E-04   1.785E-04   47.59   1.553E-04   1.290E-04   1.867E-04   34.47
 1.00 1.20 43.25 43.50   1.103E-04   9.468E-05   1.284E-04   49.33   1.150E-04   9.882E-05   1.337E-04   50.12
 1.00 1.20 43.50 43.75   9.043E-05   7.790E-05   1.049E-04   51.70   1.012E-04   8.779E-05   1.165E-04   56.77
 1.00 1.20 43.75 44.00   5.538E-05   4.771E-05   6.421E-05   51.83   6.831E-05   5.857E-05   7.958E-05   48.85
 1.00 1.20 44.00 44.25   3.069E-05   2.653E-05   3.547E-05   54.03   3.208E-05   2.632E-05   3.902E-05   30.62
 1.00 1.20 44.25 44.50   1.431E-05   1.199E-05   1.705E-05   37.62   1.363E-05   1.053E-05   1.755E-05   19.00
 1.00 1.20 44.50 44.75   3.593E-06   2.538E-06   5.032E-06   11.22   3.624E-06   2.476E-06   5.233E-06    9.58
 1.00 1.20 44.75 45.00   1.416E-06   7.616E-07   2.505E-06    4.29   1.016E-06   5.330E-07   1.832E-06    4.04
 1.00 1.20 45.00 45.25   3.265E-07   7.068E-08   1.008E-06    1.19   6.385E-07   3.373E-07   1.145E-06    4.11
 1.00 1.20 45.25 45.50   5.752E-08  -7.248E-11   5.430E-07    0.25   1.271E-07   4.852E-08   2.876E-07    2.21
 1.20 1.50 41.25 41.50   1.087E-03   3.532E-04   2.719E-03    1.78   5.492E-03  -1.061E+00   4.659E-01    0.02
 1.20 1.50 41.50 41.75   5.216E-04   2.433E-04   1.029E-03    3.12   2.093E-03  -2.579E-03   4.261E-02    0.11
 1.20 1.50 41.75 42.00   3.278E-04   1.893E-04   5.473E-04    5.22   5.491E-04  -2.248E-08   4.772E-03    0.28
 1.20 1.50 42.00 42.25   2.005E-04   1.276E-04   3.083E-04    7.18   3.157E-04   5.267E-05   1.090E-03    0.98
 1.20 1.50 42.25 42.50   1.632E-04   1.157E-04   2.278E-04   11.43   1.756E-04   7.257E-05   3.773E-04    2.50
 1.20 1.50 42.50 42.75   1.432E-04   1.123E-04   1.819E-04   21.09   1.619E-04   1.005E-04   2.543E-04    6.57
 1.20 1.50 42.75 43.00   1.325E-04   1.110E-04   1.580E-04   37.44   1.508E-04   1.125E-04   2.009E-04   15.10
 1.20 1.50 43.00 43.25   1.232E-04   1.066E-04   1.423E-04   54.76   1.347E-04   1.102E-04   1.642E-04   29.95
 1.20 1.50 43.25 43.50   1.004E-04   8.800E-05   1.145E-04   64.91   1.078E-04   9.290E-05   1.249E-04   52.12
 1.20 1.50 43.50 43.75   7.928E-05   6.973E-05   9.007E-05   68.60   8.727E-05   7.695E-05   9.892E-05   71.13
 1.20 1.50 43.75 44.00   5.900E-05   5.197E-05   6.693E-05   70.18   6.738E-05   5.934E-05   7.646E-05   69.94
 1.20 1.50 44.00 44.25   4.415E-05   3.924E-05   4.964E-05   80.66   4.294E-05   3.723E-05   4.948E-05   56.20
 1.20 1.50 44.25 44.50   1.637E-05   1.422E-05   1.882E-05   57.92   1.919E-05   1.586E-05   2.318E-05   32.76
 1.20 1.50 44.50 44.75   5.078E-06   4.051E-06   6.345E-06   24.07   6.013E-06   4.602E-06   7.818E-06   17.77
 1.20 1.50 44.75 45.00   1.365E-06   8.938E-07   2.046E-06    8.02   1.710E-06   1.137E-06   2.529E-06    8.53
 1.20 1.50 45.00 45.25   3.222E-07   1.106E-07   7.797E-07    1.90   3.301E-07   1.312E-07   7.277E-07    2.35
 1.20 1.50 45.25 45.50   3.795E-08  -7.189E-11   3.644E-07    0.25   1.590E-07   5.355E-08   3.891E-07    1.86
 1.50 2.00 41.50 41.75   5.006E-04   1.354E-04   1.386E-03    1.45   8.441E-04  -5.660E+00   2.424E-01    0.01
 1.50 2.00 41.75 42.00   3.064E-04   1.484E-04   5.875E-04    3.37   1.399E-04  -7.414E-02   1.667E-02    0.02
 1.50 2.00 42.00 42.25   2.144E-04   1.292E-04   3.455E-04    5.94   2.769E-04  -5.538E-08   2.473E-03    0.27
 1.50 2.00 42.25 42.50   1.411E-04   9.505E-05   2.063E-04    9.01   1.282E-04   1.660E-05   4.860E-04    0.85
 1.50 2.00 42.50 42.75   1.154E-04   8.814E-05   1.504E-04   17.52   1.152E-04   5.541E-05   2.220E-04    3.32
 1.50 2.00 42.75 43.00   9.364E-05   7.692E-05   1.138E-04   30.98   1.381E-04   9.776E-05   1.931E-04   11.34
 1.50 2.00 43.00 43.25   8.856E-05   7.651E-05   1.024E-04   53.64   1.184E-04   9.515E-05   1.468E-04   25.62
 1.50 2.00 43.25 43.50   6.875E-05   6.073E-05   7.778E-05   73.09   9.028E-05   7.685E-05   1.059E-04   44.82
 1.50 2.00 43.50 43.75   5.639E-05   5.021E-05   6.330E-05   82.89   7.798E-05   6.888E-05   8.825E-05   72.93
 1.50 2.00 43.75 44.00   4.735E-05   4.223E-05   5.306E-05   85.30   5.917E-05   5.307E-05   6.596E-05   93.49
 1.50 2.00 44.00 44.25   3.462E-05   3.082E-05   3.887E-05   82.78   3.970E-05   3.539E-05   4.451E-05   84.61
 1.50 2.00 44.25 44.50   1.886E-05   1.670E-05   2.128E-05   76.05   2.164E-05   1.871E-05   2.501E-05   54.14
 1.50 2.00 44.50 44.75   7.753E-06   6.701E-06   8.961E-06   54.00   8.818E-06   7.213E-06   1.076E-05   29.82
 1.50 2.00 44.75 45.00   2.696E-06   2.167E-06   3.344E-06   25.63   2.544E-06   1.885E-06   3.409E-06   14.53
 1.50 2.00 45.00 45.25   5.929E-07   3.540E-07   9.627E-07    5.78   6.276E-07   3.842E-07   9.978E-07    6.27
 1.50 2.00 45.25 45.50   1.545E-07   5.157E-08   3.802E-07    1.84   1.966E-07   8.407E-08   4.123E-07    2.65
 1.50 2.00 45.50 45.75   1.853E-08  -3.286E-10   2.047E-07    0.21   6.584E-08   2.325E-08   1.566E-07    1.98
 1.50 2.00 45.75 46.00   1.182E-08  -1.542E-09   1.625E-07    0.16   1.928E-08   4.152E-09   5.968E-08    1.18
 2.00 2.50 42.00 42.25   1.567E-04   4.994E-05   3.961E-04    1.74   8.615E-05  -2.093E-01   1.736E-02    0.01
 2.00 2.50 42.25 42.50   1.073E-04   5.241E-05   2.046E-04    3.42   6.849E-05  -2.090E-04   1.714E-03    0.09
 2.00 2.50 42.50 42.75   9.182E-05   5.954E-05   1.389E-04    7.71   1.040E-04   1.627E-05   3.679E-04    0.94
 2.00 2.50 42.75 43.00   7.797E-05   5.828E-05   1.036E-04   15.30   9.359E-05   4.618E-05   1.770E-04    3.50
 2.00 2.50 43.00 43.25   6.266E-05   5.012E-05   7.811E-05   24.57   8.405E-05   5.711E-05   1.220E-04    9.35
 2.00 2.50 43.25 43.50   5.170E-05   4.372E-05   6.105E-05   41.60   9.081E-05   7.230E-05   1.137E-04   23.69
 2.00 2.50 43.50 43.75   4.443E-05   3.854E-05   5.116E-05   56.68   7.396E-05   6.260E-05   8.726E-05   42.05
 2.00 2.50 43.75 44.00   4.196E-05   3.703E-05   4.752E-05   72.08   5.415E-05   4.718E-05   6.210E-05   60.05
 2.00 2.50 44.00 44.25   3.130E-05   2.748E-05   3.563E-05   66.72   3.932E-05   3.461E-05   4.463E-05   69.49
 2.00 2.50 44.25 44.50   1.995E-05   1.730E-05   2.300E-05   56.03   2.261E-05   1.951E-05   2.619E-05   52.67
 2.00 2.50 44.50 44.75   8.874E-06   7.466E-06   1.053E-05   39.36   9.512E-06   7.673E-06   1.176E-05   26.39
 2.00 2.50 44.75 45.00   3.040E-06   2.420E-06   3.807E-06   23.65   2.907E-06   2.047E-06   4.082E-06   11.06
 2.00 2.50 45.00 45.25   9.481E-07   6.444E-07   1.375E-06    9.37   8.531E-07   5.094E-07   1.385E-06    5.78
 2.00 2.50 45.25 45.50   2.373E-07   1.053E-07   4.849E-07    2.84   2.099E-07   7.963E-08   4.770E-07    2.19
 2.00 2.50 47.25 47.50   1.176E-10   4.026E-11   2.851E-10    1.90   0.000E+00        -NaN        -NaN    0.00
 2.50 3.50 42.25 42.50   5.435E-05   1.330E-05   1.583E-04    1.32   3.375E-05  -6.248E-02   6.186E-03    0.01
 2.50 3.50 42.50 42.75   3.532E-05   1.533E-05   7.333E-05    2.72   1.354E-05  -1.971E-04   5.126E-04    0.05
 2.50 3.50 42.75 43.00   2.459E-05   1.421E-05   4.102E-05    5.23   3.107E-05   2.615E-06   1.345E-04    0.69
 2.50 3.50 43.00 43.25   2.131E-05   1.489E-05   3.013E-05   10.66   3.627E-05   1.716E-05   7.077E-05    3.21
 2.50 3.50 43.25 43.50   2.008E-05   1.576E-05   2.550E-05   21.15   2.720E-05   1.715E-05   4.216E-05    6.94
 2.50 3.50 43.50 43.75   1.953E-05   1.646E-05   2.314E-05   40.08   2.757E-05   2.102E-05   3.598E-05   17.32
 2.50 3.50 43.75 44.00   2.128E-05   1.860E-05   2.432E-05   62.87   2.489E-05   2.049E-05   3.017E-05   31.64
 2.50 3.50 44.00 44.25   1.563E-05   1.367E-05   1.786E-05   63.18   1.880E-05   1.608E-05   2.196E-05   47.44
 2.50 3.50 44.25 44.50   1.116E-05   9.595E-06   1.296E-05   50.67   1.530E-05   1.325E-05   1.765E-05   55.42
 2.50 3.50 44.50 44.75   7.777E-06   6.621E-06   9.123E-06   44.91   8.135E-06   6.844E-06   9.656E-06   39.33
